compyear,cash and cash equivalents,current assets,total assets,current liabilities,total liabilities,common shares,share capital,total capital,retained earnings,total shareholder's equity,net operating income,cogs,operating income,operating expense,working capital,r&d expense,expected credit impairment (loss) profit - operating expense,operating profit,finance costs,net income before tax,net income before interest and tax,cash flow from operations,cash flow from investing activities,cash flow from financing activities,long-term and short-term borrowings,net liabilities,Tobins Q,financial leverage,operating leverage,interest coverage ratio,roa - comprehensive income,roe - comprehensive income,cash flow adequacy ratio,cash reinvestment ratio,current ratio,quick ratio,interest expense ratio,interest expense ratio (B),total liabilities/total net worth,debt ratio,net worth/assets,long-term funding ratio (A),debt dependency ratio,contingent liabilities to net worth,operating profit/paid-in capital ratio,pre-tax net profit/paid-in capital ratio,retention ratio,dividend payout ratio
81012022,9244.0,254743.0,781059.0,377973.0,481592.0,728311.0,728311.0,32443.0,-447196.0,299467.0,361794.0,350719.0,11075.0,294464.0,-123230.0,120711.0,-1729.0,-283389.0,17692.0,-162051.0,-144359.0,-125643.0,76516.0,-43904.0,166082.0,156838.0,0.78,1.0,-1.59,-8.16,-11.94,-31.2,-312.34,-8.72,67.4,25.89,-11.96,1.45,160.82,61.66,38.34,321.76,55.46,0.0,-38.91,-22.25,38.185,0.0
81032014,1140417.0,2854079.0,3888311.0,1240209.0,1396617.0,762789.0,762789.0,540943.0,963836.0,2491694.0,2824558.0,1870480.0,954078.0,513960.0,1613870.0,35482.0,0.0,440118.0,7369.0,508495.0,515864.0,271825.0,-261971.0,39831.0,596853.0,-599406.0,1.25,1.02,2.89,70.0,13.08,20.35,88.32,4.13,230.13,190.05,1.85,0.26,56.05,35.92,64.08,300.58,23.95,0.0,57.7,66.66,41.29,58.71
81032015,1259664.0,2587256.0,3674795.0,1140435.0,1312390.0,782687.0,782687.0,579180.0,824493.0,2362405.0,2542880.0,1759080.0,783800.0,616613.0,1446821.0,25058.0,0.0,167187.0,8426.0,269355.0,277781.0,464637.0,-186975.0,-151386.0,616862.0,-676878.0,0.7,1.05,5.72,32.97,1.15,1.79,89.24,7.17,226.87,185.03,8.36,0.33,55.55,35.71,64.29,275.82,26.11,0.0,21.36,34.41,74.96,25.04
81032016,1076527.0,2524298.0,3646283.0,1002906.0,1210796.0,813994.0,813994.0,579180.0,1007052.0,2435487.0,2589451.0,1758813.0,830638.0,473706.0,1521392.0,24247.0,0.0,356932.0,7062.0,388876.0,395938.0,380985.0,-252667.0,-265278.0,368705.0,-747465.0,0.71,1.02,3.27,56.07,2.64,4.03,91.38,10.45,251.7,199.25,2.82,0.27,49.71,33.21,66.79,271.25,15.14,0.0,43.85,47.77,39.91,60.09
81032017,1117487.0,2623273.0,3824427.0,1185013.0,1388254.0,813994.0,813994.0,579180.0,1029843.0,2436173.0,2713382.0,1891748.0,821634.0,508052.0,1438260.0,24817.0,0.0,313582.0,5138.0,275652.0,280790.0,249671.0,-192399.0,-19958.0,500030.0,-647056.0,0.8,1.02,3.72,54.65,4.07,6.24,83.34,2.97,221.37,172.16,3.0,0.19,56.99,36.3,63.7,257.44,20.53,0.0,38.52,33.86,51.59,48.41
81032018,1053397.0,2734894.0,3976232.0,1076536.0,1469348.0,813994.0,813994.0,582162.0,1152040.0,2506884.0,3110632.0,2256619.0,854013.0,583821.0,1658358.0,41227.0,1749.0,270192.0,6222.0,335145.0,341367.0,135964.0,-200891.0,1795.0,589717.0,-484902.0,0.64,1.02,4.49,54.86,4.07,6.42,71.56,1.46,254.05,196.52,2.98,0.2,58.61,36.95,63.05,266.5,23.52,0.0,33.19,41.17,60.2,39.8
81032019,1268311.0,2918125.0,4311891.0,1294247.0,1786971.0,813994.0,813994.0,583840.0,1244546.0,2524920.0,3133851.0,2229221.0,904630.0,620565.0,1623878.0,69157.0,2594.0,284065.0,16536.0,285761.0,302297.0,510454.0,-224387.0,-37197.0,646767.0,-645377.0,0.66,1.06,4.47,18.28,2.1,3.45,90.05,11.06,225.47,179.45,8.76,0.24,70.77,41.44,58.56,257.71,25.62,0.0,34.9,35.11,53.67,46.33
81032020,1144252.0,3030850.0,4529146.0,1320733.0,1902499.0,789534.0,789534.0,564317.0,1356184.0,2626647.0,3134712.0,2104188.0,1030524.0,644936.0,1710117.0,103586.0,1195.0,385588.0,17625.0,344279.0,361904.0,310367.0,-242946.0,-209803.0,621837.0,-557844.0,0.77,1.05,3.63,20.53,5.57,9.56,85.06,5.53,229.48,174.93,7.72,0.25,72.43,42.01,57.99,248.64,23.67,0.0,48.84,43.61,48.8,51.2
81032021,1190801.0,3697816.0,5158598.0,1368054.0,2296665.0,789534.0,789534.0,608083.0,1582049.0,2861933.0,4159393.0,2912083.0,1247310.0,694615.0,2329762.0,89557.0,11455.0,552695.0,16176.0,507421.0,523597.0,322533.0,-354219.0,87548.0,810938.0,-562010.0,0.94,1.03,3.2,32.37,6.24,11.01,75.9,4.44,270.3,206.13,4.63,0.2,80.25,44.52,55.48,287.28,28.34,0.0,70.0,64.27,53.37,46.63
81032022,1980468.0,3752490.0,5122568.0,1063002.0,2057217.0,789534.0,789534.0,608100.0,1759936.0,3065351.0,3727014.0,2620589.0,1106425.0,735076.0,2689488.0,115875.0,1530.0,371349.0,17683.0,503979.0,521662.0,1062977.0,-149993.0,-159240.0,867820.0,-1279361.0,0.65,1.05,4.07,29.5,7.03,12.19,142.22,17.58,353.01,294.81,5.17,0.32,67.11,40.16,59.84,314.84,28.31,0.0,47.03,63.83,52.37,47.63
