Date;BTC;LTC;XRP;DOGE;DASH;ETH;ETC;ZEC;BCH;BSV
2018-12-24;4078,5991210938;33,1966667175;0,4067989886;0,0025400000;92,4437103271;140,2380065918;5,1599860191;68,3379974365;182,2596740723;102,4622192383
2018-12-25;3815,4907226562;31,1343288422;0,3808720112;0,0024039999;83,9568634033;129,8443450928;4,7280888557;61,2489204407;170,9093475342;93,4549942017
2018-12-26;3857,2976074219;30,9859008789;0,3786930144;0,0024740000;84,5489654541;131,8656311035;5,5314660072;61,5146751404;175,5102996826;94,5114135742
2018-12-27;3654,8334960938;28,2945079803;0,3411619961;0,0023640001;76,4044799805;116,5759124756;4,8165898323;56,3454704285;150,1275787354;84,8719787598
2018-12-28;3923,9187011719;32,5108299255;0,3768520057;0,0024339999;83,8210601807;137,6470184326;5,2803230286;63,1697502136;173,9989776611;93,6355056763
2018-12-29;3820,4086914062;31,5650024414;0,3672519922;0,0024029999;80,3459472656;138,0183410645;5,1913452148;60,3226089478;165,0596466064;89,4278182983
2018-12-30;3865,9526367188;31,9765167236;0,3695810139;0,0023670001;81,7931976318;139,8594512939;5,3082308769;59,6560516357;163,6221313477;88,5603179932
2018-12-31;3742,7004394531;30,4682235718;0,3527059853;0,0023459999;79,0644378662;133,3682556152;5,0480461121;56,5439338684;151,0457000732;84,9563064575
2019-01-01;3843,5200195312;31,9799308777;0,3647710085;0,0023920001;81,0511398315;140,8194122314;5,2272610664;59,7477302551;164,8545989990;92,1423187256
2019-01-02;3943,4094238281;33,4336814880;0,3752430081;0,0024069999;84,0022277832;155,0476837158;5,4387001991;61,2522735596;171,8273773193;94,8837661743
2019-01-03;3836,7412109375;32,0266990662;0,3602240086;0,0023600000;80,8616790771;149,1350097656;5,0946168900;58,3050537109;162,0499267578;88,6433258057
2019-01-04;3857,7175292969;32,4041671753;0,3567470014;0,0023149999;81,1979675293;154,5819396973;5,2541480064;58,4092674255;161,3956298828;87,6452484131
2019-01-05;3845,1945800781;34,9368667603;0,3552750051;0,0023190000;80,6091613770;155,6385955811;5,1362729073;58,0505447388;160,4012145996;88,5201339722
2019-01-06;4076,6325683594;39,2988548279;0,3683950007;0,0023280000;85,8350067139;157,7462005615;5,5036869049;61,6244392395;166,8411865234;90,3757019043
2019-01-07;4025,2482910156;37,8062744141;0,3643470109;0,0022849999;83,3403854370;151,6992187500;4,9158849716;60,7382659912;161,2439727783;88,7843093872
2019-01-08;4030,8479003906;39,4797172546;0,3653149903;0,0022760001;81,6792373657;150,3596343994;4,9879121780;60,8628616333;161,9126281738;87,5778427124
2019-01-09;4035,2963867188;38,9855346680;0,3708899915;0,0022660000;85,7992324829;150,8031158447;4,9829339981;60,5360107422;160,0847473145;87,0403213501
2019-01-10;3678,9245605469;33,8660087585;0,3326520026;0,0021319999;73,7818984985;128,6251831055;4,4319968224;54,9603538513;134,9667968750;75,9195175171
2019-01-11;3687,3654785156;32,3276290894;0,3329040110;0,0021289999;73,7826232910;127,5483245850;4,4859561920;56,2828483582;131,6685791016;75,0285873413
2019-01-12;3661,3010253906;32,3844261169;0,3287999928;0,0021480001;73,6097869873;125,9665298462;4,5611710548;56,1693458557;134,3811645508;82,7988891602
2019-01-13;3552,9531250000;30,3328971863;0,3178629875;0,0020940001;70,2639923096;116,8978042603;4,2433729172;53,0014419556;126,3498153687;77,4431838989
2019-01-14;3706,0522460938;32,3582420349;0,3337660134;0,0021830001;72,9789962769;129,0687255859;4,3521881104;56,2702255249;133,9798431396;80,3678512573
2019-01-15;3630,6752929688;31,5070686340;0,3271790147;0,0021110000;70,7224197388;122,0327148438;4,2084708214;54,0345230103;128,4800109863;77,4401397705
2019-01-16;3655,0068359375;31,8234176636;0,3297010064;0,0021380000;71,2800979614;123,5470657349;4,3101220131;53,2762603760;129,1693420410;78,1950378418
2019-01-17;3678,5639648438;31,8886508942;0,3293530047;0,0020940001;72,4077987671;123,7419204712;4,5230789185;54,6733665466;131,0545349121;78,0548934937
2019-01-18;3657,8393554688;31,3114871979;0,3242770135;0,0021060000;71,6067047119;121,0102615356;4,3849139214;53,4907417297;128,4574890137;75,9649581909
2019-01-19;3728,5683593750;32,5507240295;0,3310010135;0,0021530001;73,9657516479;124,5190200806;4,4014019966;54,6510086060;130,2041015625;77,5310897827
2019-01-20;3601,0136718750;31,1764068604;0,3211770058;0,0021190001;69,8908386230;119,4748306274;4,2864608765;53,1087150574;123,8864669800;75,3428268433
2019-01-21;3576,0324707031;31,2128696442;0,3207899928;0,0021009999;69,9072875977;117,1578521729;4,3023219109;52,6416893005;122,8296051025;75,0095367432
2019-01-22;3604,5771484375;31,6844253540;0,3194909990;0,0020570001;71,7150955200;118,7475509644;4,3268461227;52,7581596375;128,4401092529;75,9250564575
2019-01-23;3585,1230468750;32,0019569397;0,3164919913;0,0020430000;71,0714950562;117,4526062012;4,3038768768;52,5672760010;132,3200988770;75,5371246338
2019-01-24;3600,8654785156;32,7761077881;0,3175979853;0,0020389999;73,0612106323;117,3628845215;4,3094391823;53,4862289429;129,3973388672;74,5232086182
2019-01-25;3599,7658691406;32,9818115234;0,3171649873;0,0021180001;73,8272399902;116,3783416748;4,3529782295;52,7804527283;128,3704528809;74,7362594604
2019-01-26;3602,4604492188;33,1505241394;0,3142350018;0,0020830000;74,1556930542;116,4887390137;4,3071160316;52,3395538330;127,1396713257;73,9747161865
2019-01-27;3583,9658203125;32,5928344727;0,3094390035;0,0020270001;71,3999023438;113,4052886963;4,2530522346;51,5349922180;122,9011077881;71,8289489746
2019-01-28;3470,4504394531;31,1992588043;0,2948629856;0,0019440000;68,1320190430;106,5899734497;3,9462409019;49,3640213013;112,4960632324;64,9935607910
2019-01-29;3448,1169433594;31,0971107483;0,2895579934;0,0019270000;68,2497940063;105,5982131958;3,9181530476;48,8298606873;111,0904541016;63,5436744690
2019-01-30;3486,1816406250;31,9309539795;0,3204610050;0,0019610000;69,2998809814;108,9075393677;4,0218510628;49,7321205139;118,3812408447;66,3773574829
2019-01-31;3457,7927246094;31,6521759033;0,3100360036;0,0019250000;68,2600936890;107,0610122681;3,9536039829;49,0009841919;114,8101882935;63,9759521484
2019-02-01;3487,9453125000;32,8270797729;0,3085170090;0,0019160000;67,4882507324;107,6097869873;3,9507579803;48,7523880005;116,5567245483;64,3494186401
2019-02-02;3521,0607910156;34,3948287964;0,3109120131;0,0019360000;67,9738235474;110,4302597046;4,0039329529;49,4086456299;121,7905349731;65,7507095337
2019-02-03;3464,0134277344;33,4392547607;0,3023520112;0,0019039999;66,8955154419;107,4926681519;3,9199030399;48,3498649597;118,8281478882;63,7196998596
2019-02-04;3459,1540527344;34,1086273193;0,3001979887;0,0018960000;67,0226974487;107,8216018677;3,8929309845;48,4897766113;119,1247787476;63,0032806396
2019-02-05;3466,3574218750;34,2566452026;0,2992390096;0,0018880001;68,1593246460;107,4435195923;3,8690299988;48,3250045776;117,7112960815;60,9370460510
2019-02-06;3413,7678222656;32,9329872131;0,2907269895;0,0018660000;65,7084884644;104,9192886353;3,7591259480;46,4688606262;115,3336410522;62,8868560791
2019-02-07;3399,4716796875;33,2224197388;0,2916179895;0,0018450000;67,2497940063;104,5353012085;3,8648860455;46,8215675354;115,1502075195;62,5038948059
2019-02-08;3666,7802734375;43,4647216797;0,3116829991;0,0019560000;73,8533554077;119,2677459717;4,1559138298;50,0487289429;130,8622131348;67,3410720825
2019-02-09;3671,2036132812;44,7902832031;0,3112840056;0,0019490001;74,2314376831;119,4308853149;4,0944957733;50,3278160095;128,6419219971;66,0863418579
2019-02-10;3690,1882324219;46,8274078369;0,3099089861;0,0019460000;75,4959716797;124,8064880371;4,1735429764;50,8927192688;127,5867233276;66,6121749878
2019-02-11;3648,4306640625;43,1825408936;0,3027409911;0,0019060000;80,1602554321;121,2983932495;4,0799717903;51,2819786072;122,5118789673;64,9751281738
2019-02-12;3653,5285644531;43,9286422729;0,3051899970;0,0018940000;82,6753616333;122,5722885132;4,0865030289;53,5947570801;123,4455718994;65,5008697510
2019-02-13;3632,0705566406;41,9976425171;0,3042840064;0,0018930000;80,5319366455;122,5536041260;4,1256690025;52,7720909119;123,1524047852;64,5514755249
2019-02-14;3616,8808593750;41,6405487061;0,3019089997;0,0018970000;78,5186614990;121,3902053833;4,1284518242;51,8016128540;121,6499099731;62,6961669922
2019-02-15;3620,8107910156;42,6996688843;0,3017590046;0,0019080000;79,1506958008;122,1003875732;4,1055250168;51,3355026245;121,9615249634;62,4034271240
2019-02-16;3629,7875976562;43,5947608948;0,3017030060;0,0019240000;79,5967559814;123,2602157593;4,0927557945;51,7572250366;122,3609161377;62,2939758301
2019-02-17;3673,8361816406;43,9283676147;0,3033699989;0,0019920000;79,7516403198;133,5988769531;4,1762161255;51,9816818237;124,6860427856;62,8676147461
2019-02-18;3915,7143554688;48,0431747437;0,3215680122;0,0021140000;86,5617065430;146,0983734131;4,4074487686;54,9450531006;144,4059448242;67,6452865601
2019-02-19;3947,0944824219;47,8646774292;0,3237679899;0,0020669999;88,1566772461;145,3461914062;4,5954418182;55,1373329163;143,3047790527;67,0906524658
2019-02-20;3999,8205566406;51,7859649658;0,3328799903;0,0020790000;87,9103012085;149,5543365479;4,7010450363;54,8814849854;148,0546264648;67,5033721924
2019-02-21;3954,1181640625;49,1515998840;0,3212909997;0,0020280001;85,6053009033;146,1308441162;4,5071949959;53,6492080688;142,9281616211;65,3903656006
2019-02-22;4005,5266113281;49,8057327271;0,3219040036;0,0020560001;86,7639465332;149,0924530029;4,7222990990;54,2801284790;145,1149444580;65,9556961060
2019-02-23;4142,5268554688;51,6809272766;0,3326199949;0,0020830000;90,0804595947;158,7954254150;4,8432788849;56,8414001465;153,2561645508;68,7364730835
2019-02-24;3810,4274902344;44,6785926819;0,3014430106;0,0019739999;81,5152511597;135,8526611328;4,1950469017;52,3469161987;130,2676391602;61,2014045715
2019-02-25;3882,6962890625;46,2130661011;0,3285099864;0,0020300001;84,1215591431;139,8228607178;4,2997879982;53,1380996704;135,8684539795;68,3873291016
2019-02-26;3854,3579101562;45,4911308289;0,3194769919;0,0020230000;83,1293716431;138,0896759033;4,3280129433;52,7818717957;134,2627563477;74,5801010132
2019-02-27;3851,0473632812;45,5814247131;0,3131060004;0,0020190000;82,4716415405;136,1259613037;4,3340640068;52,3250732422;132,7872772217;67,8582687378
2019-02-28;3854,7854003906;46,2372550964;0,3150779903;0,0019759999;83,4032211304;136,7462463379;4,2782630920;51,8274688721;132,1869659424;67,3156661987
2019-03-01;3859,5837402344;47,4872398376;0,3173120022;0,0019940000;83,4028701782;136,4436187744;4,2859740257;52,2858810425;132,9617919922;66,9959869385
2019-03-02;3864,4150390625;49,0153656006;0,3151260018;0,0020029999;83,2580413818;134,2069549561;4,2810750008;52,0480194092;132,5384979248;66,9129104614
2019-03-03;3847,1757812500;48,3803215027;0,3125540018;0,0019990001;81,9548721313;132,2494201660;4,2843198776;51,0569343567;131,5563049316;65,4133071899
2019-03-04;3761,5571289062;46,4320335388;0,3051329851;0,0019820000;79,7954406738;127,7741241455;4,1618499756;49,2614440918;125,1224822998;63,4603958130
2019-03-05;3896,3750000000;53,1324577332;0,3165070117;0,0019850000;83,9417495728;137,8223876953;4,3199200630;51,0815315247;132,5087738037;67,2826385498
2019-03-06;3903,9426269531;55,7842788696;0,3170309961;0,0019830000;84,1182937622;138,7893524170;4,3131299019;50,7928009033;133,2679595947;66,9105148315
2019-03-07;3911,4843750000;57,1890335083;0,3147659898;0,0019910000;83,5956649780;138,0345001221;4,3909888268;50,7100715637;132,1560821533;66,8554229736
2019-03-08;3901,1315917969;56,0995483398;0,3100869954;0,0019799999;81,5896148682;135,1270751953;4,2435030937;49,8192481995;129,4702606201;65,5727310181
2019-03-09;3963,3137207031;58,0868911743;0,3138259947;0,0019980001;84,1333160400;137,9653320312;4,3019242287;51,6927223206;133,8155670166;66,7692184448
2019-03-10;3951,5998535156;57,1818656921;0,3131070137;0,0019990001;83,7298889160;136,7586822510;4,3607039452;50,9605903625;132,8378143311;66,8118362427
2019-03-11;3905,2272949219;55,4202156067;0,3110649884;0,0019660001;83,5472259521;133,8340301514;4,2612061501;50,0208778381;130,2049407959;65,2866897583
2019-03-12;3909,1562500000;56,9970550537;0,3102009892;0,0020120000;92,0355224609;134,4428863525;4,3014597893;53,3881568909;128,9482421875;65,8403625488
2019-03-13;3906,7172851562;55,9331855774;0,3140980005;0,0020250001;91,4527282715;133,2630767822;4,2715711594;51,5239982605;128,9337463379;64,9836578369
2019-03-14;3924,3691406250;56,5841827393;0,3129549921;0,0020389999;89,9607543945;133,7115936279;4,3390269279;52,6179122925;133,8981170654;66,2740097046
2019-03-15;3960,9111328125;58,9892578125;0,3150520027;0,0020480000;90,6954650879;137,6917877197;4,4335927963;53,6523094177;143,9936218262;67,6913375854
2019-03-16;4048,7258300781;61,8447532654;0,3204680085;0,0020770000;93,0444869995;142,3981781006;4,5239257812;55,0426292419;157,5797882080;68,9840545654
2019-03-17;4025,2290039062;61,2437782288;0,3176119924;0,0020810000;93,5640792847;140,0005493164;4,4643640518;54,6543083191;156,0789947510;68,4675140381
2019-03-18;4032,5073242188;60,2648048401;0,3174400032;0,0020830000;92,6403274536;139,3746032715;4,4395318031;54,3558197021;162,4941711426;67,2674713135
2019-03-19;4071,1901855469;60,6155662537;0,3192810118;0,0020910001;92,3766555786;140,5191955566;4,6544799805;57,2675132751;162,4277801514;67,1170272827
2019-03-20;4087,4763183594;60,8465461731;0,3196099997;0,0020610001;93,6766052246;140,6863555908;4,6843709946;59,1737823486;160,5329284668;66,8478851318
2019-03-21;4029,3269042969;59,3783264160;0,3127180040;0,0020540000;91,1597213745;136,6360626221;4,8033938408;56,2125968933;154,7669372559;65,9390487671
2019-03-22;4023,9682617188;59,8240013123;0,3115409911;0,0020520000;91,5389328003;137,1814422607;4,8909740448;55,6771888733;158,3407745361;66,6389007568
2019-03-23;4035,8264160156;61,3486137390;0,3123590052;0,0020639999;92,6867904663;138,2398681641;4,8942861557;57,2511940002;167,4108123779;67,3687438965
2019-03-24;4022,1682128906;60,2238769531;0,3089919984;0,0020540000;92,6116333008;136,9869232178;4,8351101875;57,3941078186;165,9362335205;65,9182586670
2019-03-25;3963,0705566406;59,4967384338;0,3040550053;0,0020430000;90,1471481323;135,0310211182;4,7269592285;55,7293205261;161,6181488037;64,4012222290
2019-03-26;3985,0808105469;59,3435287476;0,3050599992;0,0020540000;89,8334884644;135,4603576660;4,7070870399;55,1900291443;161,4380493164;64,4292068481
2019-03-27;4087,0661621094;62,2514305115;0,3124650121;0,0020850000;95,4884262085;140,9881591797;4,8573260307;57,6266403198;173,1805725098;66,0254135132
2019-03-28;4069,1071777344;61,1704864502;0,3092460036;0,0020740000;96,9209747314;139,4164733887;4,7669129372;56,8442420959;169,4540405273;64,6804046631
